PewDiePie,PU-lHJZR3Gqxm24_Vd_AJ5Yw,109M,https://www.youtube.com/channel/UC-lHJZR3Gqxm24_Vd_AJ5Yw
Markiplier,PU7_YxT-KID8kRbqZo7MyscQ,29M,https://www.youtube.com/channel/UC7_YxT-KID8kRbqZo7MyscQ
Ninja,PUAW-NpUFkMyCNrvRSSGIvDQ,24.2M,https://www.youtube.com/channel/UCAW-NpUFkMyCNrvRSSGIvDQ
Talking Tom,PUm3hAp1m1xlAz0ve_EKAo4g,24.3M,https://www.youtube.com/channel/UCm3hAp1m1xlAz0ve_EKAo4g
Dream,PUTkXRDQl0luXxVQrRQvWS6w,21.5M,https://www.youtube.com/channel/UCTkXRDQl0luXxVQrRQvWS6w
FGTeeV,PUC-RHF_77zQdKcA75hr5oTQ,18.8M,https://www.youtube.com/channel/UCC-RHF_77zQdKcA75hr5oTQ
PopularMMOs,PUpGdL9Sn3Q5YWUH2DVUW1Ug,17.3M,https://www.youtube.com/channel/UCpGdL9Sn3Q5YWUH2DVUW1Ug
Clash of Clans,PUD1Em4q90ZUK2R5HKesszJg,17.2M,https://www.youtube.com/channel/UCD1Em4q90ZUK2R5HKesszJg
MrBeast Gaming,PUIPPMRA040LQr5QPyJEbmXA,17.7M,https://www.youtube.com/channel/UCIPPMRA040LQr5QPyJEbmXA
SSundee,PUke6I9N4KfC968-yRcd5YRg,16.8M,https://www.youtube.com/channel/UCke6I9N4KfC968-yRcd5YRg
IGN,PUKy1dAqELo0zrOtPkf0eTMw,15.4M,https://www.youtube.com/channel/UCKy1dAqELo0zrOtPkf0eTMw
Reaction Time,PUhM5Ff2yVeIZ16EWiB081cg,15.2M,https://www.youtube.com/channel/UChM5Ff2yVeIZ16EWiB081cg
CookieSwirlC,PUelMeixAOTs2OQAAi9wU8-g,15.3M,https://www.youtube.com/channel/UCelMeixAOTs2OQAAi9wU8-g
Kwebbelkop,PUfLuMSIDmeWRYpuCQL0OJ6A,14.5M,https://www.youtube.com/channel/UCfLuMSIDmeWRYpuCQL0OJ6A
The Game Theorists,PUo_IB5145EVNcf8hw1Kku7w,14.1M,https://www.youtube.com/channel/UCo_IB5145EVNcf8hw1Kku7w
League of Legends,PU2t5bjwHdUX4vM2g8TRDq5g,13.8M,https://www.youtube.com/channel/UC2t5bjwHdUX4vM2g8TRDq5g
