CNN,PUupvZG-5ko_eiXAupbDfxWw,12.4M,https://www.youtube.com/channel/UCupvZG-5ko_eiXAupbDfxWw
ABC News,PUBi2mrWuNuyYy4gbM6fU18Q,11.3M,https://www.youtube.com/channel/UCBi2mrWuNuyYy4gbM6fU18Q
Vox,PULXo7UDZvByw2ixzpQCufnA,9.47M,https://www.youtube.com/channel/UCLXo7UDZvByw2ixzpQCufnA
Inside Edition,PU9k-yiEpRHMNVOnOi_aQK8w,9.1M,https://www.youtube.com/channel/UC9k-yiEpRHMNVOnOi_aQK8w
Fox News,PUXIJgqnII2ZOINSWNOGFThA,7.17M,https://www.youtube.com/channel/UCXIJgqnII2ZOINSWNOGFThA
Jamuna TV,PUN6sm8iHiPd0cnoUardDAnw,7.07M,https://www.youtube.com/channel/UCN6sm8iHiPd0cnoUardDAnw
Philip DeFranco,PUlFSU9_bUb4Rc6OYfTt5SPw,6.36M,https://www.youtube.com/channel/UClFSU9_bUb4Rc6OYfTt5SPw
VICE News,PUZaT_X_mc0BI-djXOlfhqWQ,6.28M,https://www.youtube.com/channel/UCZaT_X_mc0BI-djXOlfhqWQ
Univision Noticias,PU32TdiIsh_5X8tKr_9rKQyA,5.96M,https://www.youtube.com/channel/UC32TdiIsh_5X8tKr_9rKQyA
DramaAlert,PU11PvrGPzo6Y7Zc6-e9cAKg,5.79M,https://www.youtube.com/channel/UC11PvrGPzo6Y7Zc6-e9cAKg
NBC News,PUeY0bbntWzzVIaj2z3QigXg,5.45M,https://www.youtube.com/channel/UCeY0bbntWzzVIaj2z3QigXg
The Young Turks,PU1yBKRuGpC1tSM73A0ZjYjQ,5.11M,https://www.youtube.com/channel/UC1yBKRuGpC1tSM73A0ZjYjQ
will i am,ID UNKNOWN,4.69M,https://www.youtube.com/channel/UCVCdOaiHD05nGQm9tf1SEzw
Business Insider,PUcyq283he07B7_KUX07mmtA,4.52M,https://www.youtube.com/channel/UCcyq283he07B7_KUX07mmtA
True Crime Daily,PU69uYUqvx-vw4luuX7aHNLQ,4.46M,https://www.youtube.com/channel/UC69uYUqvx-vw4luuX7aHNLQ
Noticias Telemundo,PURwA1NUcUnwsly35ikGhp0A,4.43M,https://www.youtube.com/channel/UCRwA1NUcUnwsly35ikGhp0A
MSNBC,PUaXkIU1QidjPwiAYu6GcHjg,4.3M,https://www.youtube.com/channel/UCaXkIU1QidjPwiAYu6GcHjg
El Show De Carlos Durán,PUUYFcGpnfyi2PfiZy8GSFbg,4.1M,https://www.youtube.com/channel/UCUYFcGpnfyi2PfiZy8GSFbg
CBS News,PU8p1vwvWtl6T73JiExfWs1g,3.67M,https://www.youtube.com/channel/UC8p1vwvWtl6T73JiExfWs1g
Al Rojo Vivo,PUDUxOvbwu1bnyD7AucP0ESw,3.66M,https://www.youtube.com/channel/UCDUxOvbwu1bnyD7AucP0ESw
The New York Times,PUqnbDFdCpuN8CMEg0VuEBqA,3.48M,https://www.youtube.com/channel/UCqnbDFdCpuN8CMEg0VuEBqA
Scarce,PU1NB1xUQ8ItM5VoA4101lUQ,3.15M,https://www.youtube.com/channel/UC1NB1xUQ8ItM5VoA4101lUQ
Ben Shapiro,PUnQC_G5Xsjhp9fEJKuIcrSw,3.09M,https://www.youtube.com/channel/UCnQC_G5Xsjhp9fEJKuIcrSw
Alofokeradioshow,PUvDvBAOuJIHKWK59duvM0JQ,2.97M,https://www.youtube.com/channel/UCvDvBAOuJIHKWK59duvM0JQ
TODAY,PUhDKyKQ59fYz3JO2fl0Z6sg,2.93M,https://www.youtube.com/channel/UChDKyKQ59fYz3JO2fl0Z6sg
Wall Street Journal,PUK7tptUDHh-RYDsdxO1-5QQ,2.93M,https://www.youtube.com/channel/UCK7tptUDHh-RYDsdxO1-5QQ
Donald J Trump,PUAql2DyGU2un1Ei2nMYsqOA,2.75M,https://www.youtube.com/channel/UCAql2DyGU2un1Ei2nMYsqOA
TomoNews US,PUt-WqkTyKK1_70U4bb4k4lQ,2.66M,https://www.youtube.com/channel/UCt-WqkTyKK1_70U4bb4k4lQ
Bloomberg Quicktake,PUUMZ7gohGI9HcU9VNsr2FJQ,2.65M,https://www.youtube.com/channel/UCUMZ7gohGI9HcU9VNsr2FJQ
PBS NewsHour,PU6ZFN9Tx6xh-skXCuRHCDpQ,2.6M,https://www.youtube.com/channel/UC6ZFN9Tx6xh-skXCuRHCDpQ
The Daily Wire,PUaeO5vkdj5xOQHp4UmIN6dw,2.53M,https://www.youtube.com/channel/UCaeO5vkdj5xOQHp4UmIN6dw
Kantipur TV HD,PU3yDoaqQzOd1bNP74ZrGPTA,2.35M,https://www.youtube.com/channel/UC3yDoaqQzOd1bNP74ZrGPTA
CNN en Español,PU_lEiu6917IJz03TnntWUaQ,2.29M,https://www.youtube.com/channel/UC_lEiu6917IJz03TnntWUaQ
Primer Impacto,PU9SUMV0oYm0XK9H-c3GmKaQ,2.29M,https://www.youtube.com/channel/UC9SUMV0oYm0XK9H-c3GmKaQ
CNBC,PUvJJ_dzjViJCoLf5uKUTwoA,2.25M,https://www.youtube.com/channel/UCvJJ_dzjViJCoLf5uKUTwoA
NowThis World,PUgRvm1yLFoaQKhmaTqXk9SA,2.21M,https://www.youtube.com/channel/UCgRvm1yLFoaQKhmaTqXk9SA
CBS This Morning,PU-SJ6nODDmufqBzPBwCvYvQ,1.99M,https://www.youtube.com/channel/UC-SJ6nODDmufqBzPBwCvYvQ
USA TODAY,PUP6HGa63sBC7-KHtkme-p-g,1.96M,https://www.youtube.com/channel/UCP6HGa63sBC7-KHtkme-p-g
The White House,PUYxRlFDqcWM4y7FfpiAN3KQ,1.9M,https://www.youtube.com/channel/UCYxRlFDqcWM4y7FfpiAN3KQ
Newsmax TV,PUx6h-dWzJ5NpAlja1YsApdg,1.89M,https://www.youtube.com/channel/UCx6h-dWzJ5NpAlja1YsApdg
BanglaVision NEWS,PUA4y9g_GRdNrZLH_u5LLSdw,1.92M,https://www.youtube.com/channel/UCA4y9g_GRdNrZLH_u5LLSdw
JustKiddingNews,PUfPhyExfcaqJBKc3HO3cNBw,1.87M,https://www.youtube.com/channel/UCfPhyExfcaqJBKc3HO3cNBw
Conservative Twins,PUFfD9fWqkT4PNy7v6r8ilmg,1.87M,https://www.youtube.com/channel/UCFfD9fWqkT4PNy7v6r8ilmg
CryptoCake,PUlhH1jBUJDBsDMB7xe5D-mA,1.79M,https://www.youtube.com/channel/UClhH1jBUJDBsDMB7xe5D-mA
ATN News,PU9Rgo0CrNyd7OWliLekqqGA,1.78M,https://www.youtube.com/channel/UC9Rgo0CrNyd7OWliLekqqGA
VOA News,PUVSNOxehfALut52NbkfRBaA,1.8M,https://www.youtube.com/channel/UCVSNOxehfALut52NbkfRBaA
jahan news bd,PU-N4b49LAlPDBZ5A5-2Ci8A,1.77M,https://www.youtube.com/channel/UC-N4b49LAlPDBZ5A5-2Ci8A
Washington Post,PUHd62-u_v4DvJ8TCFtpi4GA,1.73M,https://www.youtube.com/channel/UCHd62-u_v4DvJ8TCFtpi4GA
Mark Dice,PUzUV5283-l5c0oKRtyenj6Q,1.66M,https://www.youtube.com/channel/UCzUV5283-l5c0oKRtyenj6Q
Sin Censura Media,PU0R4smsFydUrF_vK9ziR80A,1.66M,https://www.youtube.com/channel/UC0R4smsFydUrF_vK9ziR80A
